Num Students;Repetitions;Initializer Time;Serialize Time;Deserialize Time;Serialized File Size
1;1;0;24461190;17134298;132
1;2;0;146564;93989;132
1;3;0;190893;92001;132
1;4;0;139636;90756;132
1;5;0;115597;80362;132
1;6;0;113509;76408;132
1;7;0;121183;78587;132
1;8;0;92142;113264;132
1;9;0;111272;88426;132
1;10;0;103960;104529;132
2;1;0;138165;108719;192
2;2;0;113440;146578;192
2;3;0;362766;147585;192
2;4;0;104107;106011;192
2;5;0;162251;126332;192
2;6;0;110883;128196;192
2;7;0;62898;94433;192
2;8;0;81895;101136;192
2;9;0;83927;92305;192
2;10;0;82905;78256;192
4;1;0;120019;180888;312
4;2;0;161592;122379;312
4;3;0;130631;139005;312
4;4;0;125277;118783;312
4;5;0;127459;127564;312
4;6;0;1088692;138927;312
4;7;0;114688;127178;312
4;8;0;204564;132965;312
4;9;0;159509;170196;312
4;10;0;103266;144677;312
8;1;0;169914;198430;552
8;2;0;177008;228636;552
8;3;0;197473;234790;552
8;4;0;308778;212978;552
8;5;0;138232;332046;552
8;6;0;116027;262723;552
8;7;0;147286;265315;552
8;8;0;182093;207873;552
8;9;0;117947;189914;552
8;10;0;88184;198822;552
16;1;0;195439;270945;1032
16;2;0;167011;287103;1032
16;3;0;243069;245394;1032
16;4;0;292998;538373;1032
16;5;0;179064;253961;1032
16;6;0;235315;367988;1032
16;7;0;126942;245093;1032
16;8;0;185425;225372;1032
16;9;0;101169;152514;1032
16;10;0;64752;126132;1032
32;1;0;244876;305989;1992
32;2;0;133522;300651;1992
32;3;0;188117;319851;1992
32;4;0;195430;237485;1992
32;5;0;184835;503499;1992
32;6;0;229984;254553;1992
32;7;0;187742;215812;1992
32;8;0;402248;173854;1992
32;9;0;188261;205280;1992
32;10;0;158923;180003;1992
64;1;0;727561;296669;3912
64;2;0;230832;310662;3912
64;3;0;214414;285925;3912
64;4;0;179737;276864;3912
64;5;0;179659;188491;3912
64;6;0;167181;201540;3912
64;7;0;207291;216623;3912
64;8;0;173656;168535;3912
64;9;0;228501;141576;3912
64;10;0;156641;141063;3912
128;1;0;701498;345684;7463
128;2;0;2016799;462239;7463
128;3;0;797584;466765;7463
128;4;0;506747;429752;7463
128;5;0;3576638;306354;7463
128;6;0;240003;268846;7463
128;7;0;251696;314212;7463
128;8;0;278589;5745537;7463
128;9;0;223708;257939;7463
128;10;0;192257;265852;7463
256;1;0;436575;600549;13991
256;2;0;352030;473308;13991
256;3;0;398636;2126278;13991
256;4;0;425641;526395;13991
256;5;0;399576;524848;13991
256;6;0;380662;471270;13991
256;7;0;401721;527187;13991
256;8;0;378149;505323;13991
256;9;0;372418;4317291;13991
256;10;0;441995;4157280;13991
512;1;0;783061;997741;27047
512;2;0;779339;1137508;27047
512;3;0;828295;1002535;27047
512;4;0;848107;7408809;27047
512;5;0;782848;1004589;27047
512;6;0;1793651;940894;27047
512;7;0;802044;936609;27047
512;8;0;686990;974494;27047
512;9;0;740329;1002185;27047
512;10;0;769053;1039921;27047
1024;1;0;1578130;2027375;53434
1024;2;0;1433321;2586303;53434
1024;3;0;1362223;1679039;53434
1024;4;0;1411502;4565981;53434
1024;5;0;1362358;1745986;53434
1024;6;0;988869;1579638;53434
1024;7;0;1976693;2321058;53434
1024;8;0;1278397;1641128;53434
1024;9;0;1298342;1344783;53434
1024;10;0;1259774;1147086;53434
2048;1;0;3140790;3732480;116922
2048;2;0;3784835;3382868;116922
2048;3;0;2606701;2535526;116922
2048;4;0;2674489;2419556;116922
2048;5;0;2836505;2470679;116922
2048;6;0;2878890;2978065;116922
2048;7;0;2838291;2583345;116922
2048;8;0;4416035;2505862;116922
2048;9;0;1641574;2505592;116922
2048;10;0;1487964;3713737;116922
4096;1;0;3070392;7164178;243898
4096;2;0;8584964;11824242;243898
4096;3;0;2818897;3728982;243898
4096;4;0;3124050;3378331;243898
4096;5;0;3070179;6498437;243898
4096;6;0;2102400;5155758;243898
4096;7;0;3785831;5276210;243898
4096;8;0;3640893;3728967;243898
4096;9;0;3239553;3933612;243898
4096;10;0;2152687;4642643;243898
8192;1;0;6088087;19403614;497850
8192;2;0;4813475;8419192;497850
8192;3;0;3846566;10910293;497850
8192;4;0;3735391;8518073;497850
8192;5;0;3675213;21988207;497850
8192;6;0;7044246;12099725;497850
8192;7;0;4107227;11228278;497850
8192;8;0;5834905;23401149;497850
8192;9;0;3147511;3761731;497850
8192;10;0;6474462;3971528;497850
16384;1;0;12573943;6615577;1005755
16384;2;0;7878868;16457721;1005755
16384;3;0;8523409;17628351;1005755
16384;4;0;6566091;7464356;1005755
16384;5;0;7426003;16542601;1005755
16384;6;0;6044726;6183927;1005755
16384;7;0;5286407;22163255;1005755
16384;8;0;7138438;12479672;1005755
16384;9;0;5287594;27047185;1005755
16384;10;0;9561898;7230281;1005755
32768;1;0;11654784;22404497;2037947
32768;2;0;11848554;19958282;2037947
32768;3;0;14010641;51380729;2037947
32768;4;0;13522725;33300579;2037947
32768;5;0;20337614;15365349;2037947
32768;6;0;12639668;19065400;2037947
32768;7;0;23638580;46506099;2037947
32768;8;0;19036485;29723190;2037947
32768;9;0;22436401;27319269;2037947
32768;10;0;14718718;10307719;2037947
65536;1;0;15210941;17540330;4102331
65536;2;0;13619459;19197540;4102331
65536;3;0;14652101;17096980;4102331
65536;4;0;15220571;17521200;4102331
65536;5;0;14390911;17807960;4102331
65536;6;0;13633358;17257236;4102331
65536;7;0;14282204;34131510;4102331
