Num Students;Repetitions;Initializer Time;Serialize Time;Deserialize Time;Serialized File Size
1;-1;83270899;46052891;3290727;323
1;1;52971;1369074;230818;323
1;2;37790;1390443;3927999;323
1;3;36088;1300909;187163;323
1;4;31601;8162935;2033502;323
1;5;40752;17285259;273449;323
1;6;42660;1287825;169810;323
1;7;33705;1169835;149664;323
1;8;31360;3362437;150247;323
1;9;36083;9909155;151321;323
1;10;32650;3239453;165410;323
2;1;34079;2006482;268998;462
2;2;38588;2032155;818012;462
2;3;34256;1308848;201771;462
2;4;40565;1834779;179045;462
2;5;31524;2853507;972642;462
2;6;32986;28073850;518929;462
2;7;46204;4820904;4615075;462
2;8;37746;3611213;175811;462
2;9;51044;3697687;258343;462
2;10;60528;999163;162192;462
4;1;62922;3011900;779033;740
4;2;70981;3627216;347571;740
4;3;94614;1324232;462983;740
4;4;61959;1972094;202006;740
4;5;27085;2435676;396193;740
4;6;66859;1578332;3598741;740
4;7;43314;2235913;677723;740
4;8;32711;905676;216560;740
4;9;30273;962908;254990;740
4;10;37937;944537;205548;740
8;1;28503;902102;394634;1296
8;2;26249;1075865;281734;1296
8;3;25502;1043865;424627;1296
8;4;89121;2611838;438477;1296
8;5;29942;901618;289046;1296
8;6;27812;903232;296382;1296
8;7;32215;1014071;360669;1296
8;8;52325;1648237;4021269;1296
8;9;27058;957113;350564;1296
8;10;32666;846275;272114;1296
16;1;26593;1216459;439172;2415
16;2;27815;6118319;387892;2415
16;3;27454;973739;370423;2415
16;4;25359;971776;11009727;2415
16;5;31639;1916799;355275;2415
16;6;29985;894752;283276;2415
16;7;34735;1361488;831609;2415
16;8;54685;994387;1187279;2415
16;9;29754;1015072;290941;2415
16;10;25897;6319412;313795;2415
32;1;29623;2359725;458210;4655
32;2;28770;987707;441109;4655
32;3;28651;1039060;566915;4655
32;4;32361;1520580;449693;4655
32;5;27134;2420000;905800;4655
32;6;30246;1435252;418267;4655
32;7;33017;981222;375810;4655
32;8;35089;2029960;387294;4655
32;9;30069;964056;378015;4655
32;10;43150;1339830;630789;4655
64;1;1085831;2166588;970197;9135
64;2;1110369;1262584;604731;9135
64;3;26598;1252244;618789;9135
64;4;24882;1234773;606554;9135
64;5;34897;1546678;8842454;9135
64;6;37497;1545393;609699;9135
64;7;22714525;5014474;675199;9135
64;8;28450;15716381;2294964;9135
64;9;78760;2589874;613249;9135
64;10;26973;1057263;563368;9135
128;1;27792;3748546;1586593;17834
128;2;35396;6437344;1087048;17834
128;3;24469;1826278;1185538;17834
128;4;28497;5498042;1010987;17834
128;5;32731;1996282;1016172;17834
128;6;36796;3867308;990318;17834
128;7;47078;2939592;1421006;17834
128;8;28589;3338340;1110887;17834
128;9;26926;1901459;1066827;17834
128;10;40745;2403398;7352753;17834
256;1;35185;4783466;2055173;34602
256;2;27770;3005182;2199826;34602
256;3;42816;3417382;2173845;34602
256;4;24985;3671398;2904629;34602
256;5;30715;3066166;2339501;34602
256;6;24920;2838965;2284178;34602
256;7;27532;7702396;3751396;34602
256;8;31487;2183192;2141441;34602
256;9;25978;2244827;3766144;34602
256;10;25423;2083132;2272504;34602
512;1;26725;4813212;4388098;68138
512;2;30612;3990949;4220452;68138
512;3;33713;3993437;2792150;68138
512;4;29292;6271882;2246062;68138
512;5;26648;4033903;2308966;68138
512;6;31275;4343340;1736790;68138
512;7;26567;6440919;2564263;68138
512;8;26027;2986514;1520507;68138
512;9;25595;3435988;1690515;68138
512;10;28389;3656809;4909030;68138
1024;1;29946;5313951;2832504;135510
1024;2;26814;4689290;3788270;135510
1024;3;28956;4966706;3232727;135510
1024;4;29720;4163936;2849297;135510
1024;5;29715;4366507;2604365;135510
1024;6;28597;4271956;4365851;135510
1024;7;27151;4810677;2757304;135510
1024;8;28957;4432463;4075841;135510
1024;9;531384;4563323;2382621;135510
1024;10;27381;4029906;2543142;135510
2048;1;33370;8218255;8150250;281942
2048;2;32781;9180816;4757791;281942
2048;3;32740;8051510;4787691;281942
2048;4;117498;8442383;4449612;281942
2048;5;29828;7918220;5917334;281942
2048;6;23018;6558271;2390900;281942
2048;7;27689;7497716;2887645;281942
2048;8;23213;5593385;2635521;281942
2048;9;27858;7014195;7325649;281942
2048;10;29932;7548803;3193788;281942
4096;1;62845;15579348;5662681;574806
4096;2;31082;11831459;7341596;574806
4096;3;24310;13280590;7943582;574806
4096;4;40723;11752108;6913119;574806
4096;5;33215;14020169;9429052;574806
4096;6;25802;20456479;9831662;574806
4096;7;73614;13530849;8848852;574806
4096;8;25179;16279334;8340841;574806
4096;9;29640;14992334;7115569;574806
4096;10;31978;15482395;7558678;574806
8192;1;34180;41071225;30735458;1160534
8192;2;34865;30938805;17841381;1160534
8192;3;36808;43432267;16549892;1160534
8192;4;91490;29196218;20156176;1160534
8192;5;61572;38966494;21436974;1160534
8192;6;40864;45174414;25490859;1160534
8192;7;42262;35598602;22671914;1160534
8192;8;37084;24019000;10904276;1160534
8192;9;46994;22024248;8897605;1160534
8192;10;26685;20820029;9013132;1160534
16384;1;26012;41827308;18316716;2338375
16384;2;31073;44051848;18896849;2338375
16384;3;47440;39649316;17220128;2338375
16384;4;26689;39328572;17129593;2338375
16384;5;33475;48015096;29612541;2338375
16384;6;35831;50011668;32394692;2338375
16384;7;37924;51022135;31213218;2338375
16384;8;26561;40346506;17286420;2338375
16384;9;26521;40406047;16997727;2338375
16384;10;24323;40162360;17170323;2338375
32768;1;25802;82283056;34607084;4697671
32768;2;26888;98358042;34870787;4697671
32768;3;25831;79139975;34437483;4697671
32768;4;25927;81483775;43119944;4697671
32768;5;46181;106922787;58464695;4697671
32768;6;40826;99473373;34270433;4697671
32768;7;26260;79065921;34456642;4697671
32768;8;26613;83898698;34722909;4697671
32768;9;28256;84182180;41608401;4697671
32768;10;35210;86163709;38031846;4697671
65536;1;38596;166078449;70656663;9416263
65536;2;35391;109009444;71766188;9416263
65536;3;32631;116377364;111099567;9416263
65536;4;36311;149450284;80453807;9416263
65536;5;34939;114913782;77001026;9416263
65536;6;33096;127534415;79690233;9416263
65536;7;41135;108655990;85428328;9416263
65536;8;28850;110688107;73783922;9416263
65536;9;29212;104027682;69583273;9416263
65536;10;35235;105583177;75841544;9416263
Num Students;Repetitions;Initializer Time;Serialize Time;Deserialize Time;Serialized File Size
1;-1;98612492;56463909;5327297;323
1;1;71376;1539843;247052;323
1;2;32301;1515879;3374427;323
1;3;43754;1498498;223375;323
1;4;40223;1988554;214686;323
1;5;32613;2819867;1203683;323
1;6;44306;3929819;177171;323
1;7;35098;1253450;314570;323
1;8;32208;1222108;154082;323
1;9;31179;1165026;165932;323
1;10;37855;1128980;159057;323
