Num Students;Repetitions;Initializer Time;Serialize Time;Deserialize Time;Serialized File Size
1;1;114570995;46298445;3248922;323
1;2;44980;4240225;568281;323
1;3;37850;1356402;2966382;323
1;4;42311;5928667;200094;323
1;5;42556;1354350;213734;323
1;6;45814;21730432;219786;323
1;7;42319;1154219;201613;323
1;8;32723;1100808;165902;323
1;9;35651;1082540;180865;323
1;10;35126;1128086;283033;323
2;1;34965;1298287;296838;462
2;2;31428;1333694;193792;462
2;3;30689;1249224;191263;462
2;4;34297;1659241;229237;462
2;5;34242;3128988;190920;462
2;6;38257;2717323;963548;462
2;7;37732;1104427;177216;462
2;8;29051;8336852;252731;462
2;9;39307;1025741;199465;462
2;10;104723;974671;153925;462
4;1;36819;997175;252035;740
4;2;33811;1008617;243563;740
4;3;29755;1002520;231189;740
4;4;63849;792478;231451;740
4;5;26507;751226;188557;740
4;6;25404;842153;204340;740
4;7;31852;757628;346132;740
4;8;25228;729928;179839;740
4;9;27757;860097;177844;740
4;10;30984;1538877;203409;740
8;1;43834;822398;236289;1296
8;2;22566;750900;281010;1296
8;3;26858;922371;300428;1296
8;4;25415;1107136;1618804;1296
8;5;28277;871083;308577;1296
8;6;26370;1046584;294416;1296
8;7;31547;1106108;279148;1296
8;8;24856;848882;328931;1296
8;9;23200;740759;236228;1296
8;10;26526;892682;197116;1296
16;1;28285;743318;356901;2415
16;2;25502;1122167;1636082;2415
16;3;29319;1024346;312343;2415
16;4;35069;1857670;309522;2415
16;5;28771;870157;305782;2415
16;6;27705;878826;307041;2415
16;7;28428;934558;704300;2415
16;8;27992;858186;308427;2415
16;9;26983;948624;305333;2415
16;10;30261;971656;338747;2415
32;1;26999;1151062;564900;4655
32;2;28585;1132688;537660;4655
32;3;31499;1521687;1808050;4655
32;4;29189;974193;464483;4655
32;5;28004;1047360;595535;4655
32;6;28151;1046831;497097;4655
32;7;28856;16157735;383735;4655
32;8;28001;972910;350540;4655
32;9;33210;1055516;427518;4655
32;10;28926;1077137;322582;4655
64;1;32695;1371359;682830;9135
64;2;29512;10144801;1481487;9135
64;3;30363;1321832;653968;9135
64;4;31272;1671914;630401;9135
64;5;28487;1112094;635504;9135
64;6;32128;1110270;637483;9135
64;7;33280;1084744;2431587;9135
64;8;32545;2972183;2196982;9135
64;9;365025;1231370;2533189;9135
64;10;909030;3269624;595529;9135
128;1;155239;10909166;1191934;17834
128;2;30092;1929535;3919852;17834
128;3;27546;1954945;1104677;17834
128;4;26851;1792920;1090882;17834
128;5;27276;1742358;1378706;17834
128;6;30886;1748357;8025181;17834
128;7;30992;1702000;1068120;17834
128;8;26550;1788681;1037813;17834
128;9;27152;1789615;7963478;17834
128;10;29207;3072643;1004494;17834
256;1;39696;2514884;2109513;34602
256;2;2808291;2461433;2170604;34602
256;3;28661;3282978;2186230;34602
256;4;49280;2375785;2143926;34602
256;5;33238;2835662;3136393;34602
256;6;33613;4432773;2048099;34602
256;7;27074;2985607;1687117;34602
256;8;32719;8920450;2060580;34602
256;9;27979;2280620;2083737;34602
256;10;27394;2234211;1996184;34602
512;1;30193;4023282;4418163;68138
512;2;33961;4193601;4221479;68138
512;3;48726;21609854;5086951;68138
512;4;29991;2934261;3498327;68138
512;5;29600;3314486;3724650;68138
512;6;30903;6180066;3320698;68138
512;7;31303;3006527;3358988;68138
512;8;25581;6273043;2162128;68138
512;9;25885;3157617;3126682;68138
512;10;25667;3407013;1993457;68138
1024;1;25444;5160831;4097841;135510
1024;2;27664;4800783;4327826;135510
1024;3;27284;4557158;4028390;135510
1024;4;25806;4930595;4031333;135510
1024;5;26649;4569546;4275084;135510
1024;6;27539;4827280;3682021;135510
1024;7;25552;5453266;3384702;135510
1024;8;26961;13856832;3517502;135510
1024;9;27771;5741955;19373900;135510
1024;10;32242;4166735;4419804;135510
2048;1;28681;10440378;9324253;281942
2048;2;33190;8830820;7526477;281942
2048;3;29717;9946289;2394717;281942
2048;4;21319;7879310;6862516;281942
2048;5;26534;6083053;2315176;281942
2048;6;22321;6180411;2695233;281942
2048;7;26584;6513758;2460747;281942
